"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"DCDCPowerConn","DCDCPOWERCONN","16.5608mm","15.55mm","16.5608mm","19.05mm","16.5608mm","19.05mm","T","270.00","DCDCPowerConn"
"SolenoidConnector","T2M-105-01-X-D-RA-WT","7.6738mm","33.0454mm","9.4488mm","33.0454mm","11.4488mm","29.0454mm","T","90.00","T2M-105-01-X-D-RA-WT"
"RFrame","AXIAL-0.3","12.9794mm","5.0038mm","12.9794mm","5.0038mm","16.7894mm","5.0038mm","T","180.00","Rframe"
"JUMP10","JUMPER(DIP2)","16.002mm","57.8612mm","17.272mm","57.8612mm","17.272mm","57.8612mm","T","180.00","Jumper(DIP2)"
"JUMP9","JUMPER(DIP2)","15.7988mm","67.2592mm","17.0688mm","67.2592mm","17.0688mm","67.2592mm","T","180.00","Jumper(DIP2)"
"JUMP8","JUMPER(DIP2)","81.153mm","48.641mm","81.153mm","47.371mm","81.153mm","47.371mm","T","90.00","Jumper(DIP2)"
"JUMP7","JUMPER(DIP2)","38.5826mm","67.0052mm","37.3126mm","67.0052mm","37.3126mm","67.0052mm","T","360.00","Jumper(DIP2)"
"B1","BARREL_JACK","58.103mm","12.9818mm","55.753mm","9.9568mm","60.453mm","13.0068mm","T","0.00","Barrel_Jack"
"R_voltdiv_2","0402","31.242mm","9.0678mm","31.242mm","9.0678mm","31.242mm","8.6487mm","T","90.00","1090"
"R_voltdiv_1","0402","30.7848mm","10.7442mm","30.7848mm","10.7442mm","30.3657mm","10.7442mm","T","360.00","3K"
"PressCon_2","PRESSCON_2","31.8616mm","5.677mm","29.3116mm","6.477mm","29.9866mm","7.127mm","T","360.00","PressureConn_2"
"IOconn_rev2","IOCONN_REV2","44.1152mm","5.5858mm","42.2402mm","7.0358mm","42.2402mm","7.0358mm","T","360.00","IOconn_rev2"
"JUMP5","JUMPER(DIP2)","16.0782mm","61.6712mm","17.3482mm","61.6712mm","17.3482mm","61.6712mm","B","180.00","Jumper(DIP2)"
"JUMP4","JUMPER(DIP2)","65.8114mm","40.2082mm","64.5414mm","40.2082mm","64.5414mm","40.2082mm","B","0.00","Jumper(DIP2)"
"JUMP3","JUMPER(DIP2)","69.85mm","80.1624mm","71.12mm","80.1624mm","71.12mm","80.1624mm","B","180.00","Jumper(DIP2)"
"JUMP2","JUMPER(DIP2)","39.7256mm","59.4868mm","40.9956mm","59.4868mm","40.9956mm","59.4868mm","T","180.00","Jumper(DIP2)"
"JUMP1","JUMPER(DIP2)","79.756mm","85.217mm","79.756mm","86.487mm","79.756mm","86.487mm","T","270.00","Jumper(DIP2)"
"FlightSwitch","REMOVERBEFOREFLIGHT_SWITCH","83.5914mm","54.6475mm","83.5914mm","52.07mm","83.5914mm","54.02mm","T","90.00","RemoverBeforeFlightSwitch"
"Microswitch","MICROSWITCH_3PIN","71.4002mm","13.1834mm","71.4502mm","13.2334mm","76.5302mm","13.1834mm","T","180.00","MicroSwitch"
"PC-104","PC-104FOOTPRINT","44.1706mm","87.5538mm","12.4206mm","83.7438mm","37.8206mm","83.7438mm","B","0.00","PC-104"
"PIKSI_UARTA","MOLEX_PICOBLADE_5_PIN","5.5916mm","51.3548mm","2.6416mm","57.4548mm","7.0416mm","52.6048mm","T","270.00","PIKSI_UART Connector"
"XACT","XACT_MOLEX_40PIN","84.1808mm","69.494mm","81.3308mm","78.994mm","81.3308mm","78.994mm","T","270.00","XACT_Molex_40Pin"
"Docking","DOCKING_MOLEX_30PIN","5.9742mm","70.47mm","3.1242mm","77.47mm","3.1242mm","77.47mm","T","270.00","Docking_Molex_30Pin"
"Q4","TO-226-AA","20.3962mm","27.0002mm","20.3962mm","27.0002mm","21.6662mm","27.0002mm","T","90.00","MOSFET"
"Q3","TO-226-AA","20.3962mm","31.5722mm","20.3962mm","31.5722mm","21.6662mm","31.5722mm","T","90.00","MOSFET"
"Q2","TO-226-AA","20.3454mm","36.0426mm","20.3454mm","36.0426mm","21.6154mm","36.0426mm","T","90.00","MOSFET"
"Q1","TO-226-AA","20.3454mm","40.5892mm","20.3454mm","40.5892mm","21.6154mm","40.5892mm","T","90.00","MOSFET"
"R10","AXIAL-0.3","34.671mm","28.7528mm","34.671mm","28.7528mm","34.671mm","32.5628mm","T","270.00","10k"
"R9","AXIAL-0.3","36.3473mm","40.5892mm","36.3474mm","40.5892mm","36.3473mm","44.3992mm","T","270.00","10k"
"R8","AXIAL-0.3","39.1668mm","42.672mm","39.1668mm","42.672mm","39.1668mm","46.482mm","T","270.00","10k"
"R7","AXIAL-0.3","39.1922mm","28.3718mm","39.1922mm","28.3718mm","39.1922mm","24.5618mm","T","90.00","10k"
"D1","SMC","18.9992mm","50.4444mm","18.9992mm","50.4444mm","22.4742mm","50.4444mm","T","180.00","Diode"
"D2","SMC","18.9992mm","45.4406mm","18.9992mm","45.4406mm","22.4742mm","45.4406mm","T","180.00","Diode"
"D3","SMC","29.6164mm","20.7518mm","29.6164mm","20.7518mm","33.0914mm","20.7518mm","T","180.00","Diode"
"D4","SMC","25.7302mm","15.9004mm","25.7302mm","15.9004mm","29.2052mm","15.9004mm","T","180.00","Diode"
"R1","AXIAL-0.3","29.337mm","38.4302mm","29.337mm","38.4302mm","33.147mm","38.4302mm","T","180.00","100"
"R2","AXIAL-0.3","27.813mm","33.7312mm","27.813mm","33.7312mm","31.623mm","33.7312mm","T","180.00","100"
"R3","AXIAL-0.3","27.8384mm","29.3624mm","27.8384mm","29.3624mm","31.6484mm","29.3624mm","T","180.00","100"
"R4","AXIAL-0.3","27.7876mm","24.7142mm","27.7876mm","24.7142mm","31.5976mm","24.7142mm","T","180.00","100"
"OpAmp","UA741","78.6206mm","27.8384mm","75.9206mm","29.7434mm","75.9206mm","29.7434mm","T","360.00","UA741"
"PresAmp","R_8","74.6252mm","37.1094mm","74.6252mm","37.1094mm","72.7202mm","34.7472mm","T","90.00","AD627ARZ"
"PressureCon","PRESSURE_CONNECTOR","83.2674mm","34.1336mm","82.0674mm","33.8836mm","83.2674mm","31.0086mm","T","90.00","PressureConnector"
"Q5","TO-92A","85.1916mm","24.5618mm","85.1916mm","24.5618mm","86.4616mm","24.5618mm","T","90.00","2N3906"
"R11","AXIAL-0.3","82.7786mm","20.6248mm","82.7786mm","20.6248mm","78.9686mm","20.6248mm","T","360.00","1000"
"R12","AXIAL-0.3","82.9564mm","17.399mm","82.9564mm","17.399mm","86.7664mm","17.399mm","T","180.00","1000"
"R15","AXIAL-0.3","82.8802mm","14.4526mm","82.8802mm","14.4526mm","86.6902mm","14.4526mm","T","180.00","1000"
"RPOT","VR5","72.0344mm","20.9042mm","72.0344mm","20.9042mm","72.0344mm","18.3642mm","T","90.00","100K"
"JUMP6","JUMPER(DIP2)","36.6268mm","14.1986mm","36.6268mm","15.4686mm","36.6268mm","15.4686mm","T","270.00","Jumper(DIP2)"

